transactionID,customerID,franchiseID,dateTime,product,quantity,unitPrice,totalPrice,paymentMethod,cardNumber
1002961,2000253,3000047,2024-05-14T12:17:01.495Z,Golden Gate Ginger,8,3,24,amex,378154478982993
1003007,2000226,3000047,2024-05-10T23:10:10.239Z,Austin Almond Biscotti,36,3,108,mastercard,2244626981238094
1003017,2000108,3000047,2024-05-16T16:34:10.613Z,Austin Almond Biscotti,40,3,120,mastercard,2490570234487424
1003068,2000173,3000047,2024-05-02T04:31:51.612Z,Pearly Pies,28,3,84,amex,343808569426192
1003103,2000075,3000047,2024-05-04T23:44:26.902Z,Pearly Pies,28,3,84,visa,4377080942201798
1003147,2000295,3000047,2024-05-15T16:17:06.259Z,Austin Almond Biscotti,32,3,96,amex,371093774812677
1003196,2000237,3000047,2024-05-07T11:13:22.469Z,Tokyo Tidbits,40,3,120,mastercard,5538807345848392
1003329,2000272,3000047,2024-05-06T03:32:16.017Z,Outback Oatmeal,28,3,84,visa,4872480716880043
1001264,2000209,3000047,2024-05-16T17:32:28.547Z,Pearly Pies,28,3,84,mastercard,5287105980593305
1001287,2000120,3000047,2024-05-15T08:41:28.406Z,Austin Almond Biscotti,40,3,120,amex,376211012259783
1001335,2000246,3000047,2024-05-15T11:23:27.457Z,Golden Gate Ginger,36,3,108,visa,4820866586481966
1001363,2000064,3000047,2024-05-06T14:29:05.562Z,Golden Gate Ginger,40,3,120,amex,377167597236886
1001425,2000165,3000047,2024-05-08T15:42:59.281Z,Pearly Pies,8,3,24,visa,4396976839795585
1001448,2000270,3000047,2024-05-12T19:15:02.549Z,Golden Gate Ginger,24,3,72,visa,4194531844898074
1001475,2000082,3000047,2024-05-16T20:42:25.666Z,Outback Oatmeal,40,3,120,visa,4958220510666603
1001493,2000270,3000047,2024-05-06T01:28:53.109Z,Tokyo Tidbits,24,3,72,visa,4938040664554206
1001544,2000051,3000047,2024-05-01T16:37:38.133Z,Pearly Pies,8,3,24,visa,4906017870499754
1001695,2000059,3000047,2024-05-05T10:49:43.520Z,Orchard Oasis,36,3,108,visa,4714694106787061
1001700,2000084,3000047,2024-05-10T15:39:48.140Z,Pearly Pies,16,3,48,amex,345342709553150
1001739,2000275,3000047,2024-05-11T04:00:52.101Z,Orchard Oasis,24,3,72,visa,4400596746879563
1001921,2000075,3000047,2024-05-14T18:24:01.486Z,Pearly Pies,40,3,120,visa,4136664097685632
1001926,2000061,3000047,2024-05-06T23:40:21.971Z,Austin Almond Biscotti,36,3,108,amex,371936566637829
1001933,2000004,3000047,2024-05-13T14:15:39.212Z,Austin Almond Biscotti,16,3,48,amex,373990517874641
1001960,2000031,3000047,2024-05-02T10:17:42.851Z,Outback Oatmeal,20,3,60,visa,4119792413963812
1000032,2000020,3000047,2024-05-12T09:28:27.189Z,Tokyo Tidbits,12,3,36,visa,4193044984593712
1000110,2000054,3000047,2024-05-10T12:57:32.696Z,Austin Almond Biscotti,12,3,36,amex,374210995172460
1000210,2000084,3000047,2024-05-10T18:23:24.732Z,Tokyo Tidbits,4,3,12,amex,349858490487874
1000241,2000139,3000047,2024-05-14T11:52:07.945Z,Outback Oatmeal,28,3,84,amex,379418080613653
1000243,2000215,3000047,2024-05-15T20:31:43.412Z,Outback Oatmeal,32,3,96,amex,345077120760097
1000295,2000174,3000047,2024-05-06T09:10:28.339Z,Outback Oatmeal,12,3,36,visa,4751590407568073
1000299,2000080,3000047,2024-05-05T11:32:48.287Z,Austin Almond Biscotti,8,3,24,mastercard,2720851852819714
1000359,2000260,3000047,2024-05-01T11:42:42.342Z,Golden Gate Ginger,4,3,12,mastercard,2706418358353982
1000364,2000089,3000047,2024-05-06T12:05:06.468Z,Pearly Pies,12,3,36,amex,378005039788206
1000387,2000116,3000047,2024-05-06T21:16:51.627Z,Golden Gate Ginger,32,3,96,mastercard,2573670294448256
